Start_Layer,End_Layer,latency_ms
2_conv1_conv,43_conv3_block1_2_bn,71075.79
2_conv1_conv,44_conv3_block1_2_relu,71283.29
2_conv1_conv,45_conv3_block1_0_conv,61005.44
2_conv1_conv,46_conv3_block1_3_conv,73700.94
2_conv1_conv,47_conv3_block1_0_bn,62498.7
2_conv1_conv,48_conv3_block1_3_bn,80035.35
2_conv1_conv,49_conv3_block1_add,80448.19
2_conv1_conv,50_conv3_block1_out,81272.71
2_conv1_conv,51_conv3_block2_1_conv,83548.04
2_conv1_conv,52_conv3_block2_1_bn,83921.19
2_conv1_conv,53_conv3_block2_1_relu,89926.17
2_conv1_conv,54_conv3_block2_2_conv,96354.39
2_conv1_conv,55_conv3_block2_2_bn,96727.98
2_conv1_conv,56_conv3_block2_2_relu,96935.29
2_conv1_conv,57_conv3_block2_3_conv,99356.6
2_conv1_conv,58_conv3_block2_3_bn,100846.12
2_conv1_conv,59_conv3_block2_add,101258.96
2_conv1_conv,60_conv3_block2_out,101362.8
2_conv1_conv,61_conv3_block3_1_conv,103249.96
2_conv1_conv,62_conv3_block3_1_bn,103622.23
2_conv1_conv,63_conv3_block3_1_relu,103829.94
2_conv1_conv,64_conv3_block3_2_conv,110257.63
2_conv1_conv,65_conv3_block3_2_bn,110630.75
2_conv1_conv,66_conv3_block3_2_relu,113622.95
2_conv1_conv,67_conv3_block3_3_conv,120053.17
2_conv1_conv,68_conv3_block3_3_bn,120260.79
2_conv1_conv,69_conv3_block3_add,120673.63
2_conv1_conv,70_conv3_block3_out,121497.94
2_conv1_conv,71_conv3_block4_1_conv,123769.78
2_conv1_conv,72_conv3_block4_1_bn,124142.52
2_conv1_conv,73_conv3_block4_1_relu,124349.59
2_conv1_conv,74_conv3_block4_2_conv,130779.3
2_conv1_conv,75_conv3_block4_2_bn,131153.31
2_conv1_conv,76_conv3_block4_2_relu,131360.43
2_conv1_conv,77_conv3_block4_3_conv,133557.1
2_conv1_conv,78_conv3_block4_3_bn,133970.77
2_conv1_conv,79_conv3_block4_add,134383.61
2_conv1_conv,80_conv3_block4_out,135209.87
2_conv1_conv,81_conv4_block1_1_conv,136992.54
2_conv1_conv,82_conv4_block1_1_bn,137179.2
2_conv1_conv,83_conv4_block1_1_relu,137283.1
2_conv1_conv,84_conv4_block1_2_conv,143617.51
2_conv1_conv,85_conv4_block1_2_bn,143804.09
2_conv1_conv,86_conv4_block1_2_relu,143907.91
2_conv1_conv,87_conv4_block1_0_conv,141215.5
2_conv1_conv,88_conv4_block1_3_conv,145553.44
2_conv1_conv,89_conv4_block1_0_bn,141422.7
2_conv1_conv,90_conv4_block1_3_bn,146300.28
2_conv1_conv,91_conv4_block1_add,146713.12
2_conv1_conv,92_conv4_block1_out,147126.29
2_conv1_conv,93_conv4_block2_1_conv,149163.09
2_conv1_conv,94_conv4_block2_1_bn,152126.24
2_conv1_conv,95_conv4_block2_1_relu,152312.82
2_conv1_conv,96_conv4_block2_2_conv,158647.57
2_conv1_conv,97_conv4_block2_2_bn,158834.24
2_conv1_conv,98_conv4_block2_2_relu,158938.13
2_conv1_conv,99_conv4_block2_3_conv,160832.57
2_conv1_conv,100_conv4_block2_3_bn,161579.7
2_conv1_conv,101_conv4_block2_add,161992.54
2_conv1_conv,102_conv4_block2_out,162366.13
2_conv1_conv,103_conv4_block3_1_conv,165122.14
2_conv1_conv,104_conv4_block3_1_bn,165308.59
2_conv1_conv,105_conv4_block3_1_relu,165412.43
2_conv1_conv,106_conv4_block3_2_conv,167301.2
2_conv1_conv,107_conv4_block3_2_bn,167488.06
2_conv1_conv,108_conv4_block3_2_relu,169759.92
2_conv1_conv,109_conv4_block3_3_conv,169966.94
2_conv1_conv,110_conv4_block3_3_bn,170713.96
2_conv1_conv,111_conv4_block3_add,171126.8
2_conv1_conv,112_conv4_block3_out,171541.44
2_conv1_conv,113_conv4_block4_1_conv,177875.07
2_conv1_conv,114_conv4_block4_1_bn,178061.54
2_conv1_conv,115_conv4_block4_1_relu,178165.32
2_conv1_conv,116_conv4_block4_2_conv,184500.35
2_conv1_conv,117_conv4_block4_2_bn,187260.62
2_conv1_conv,118_conv4_block4_2_relu,190020.89
2_conv1_conv,119_conv4_block4_3_conv,191909.66
2_conv1_conv,120_conv4_block4_3_bn,192657.04
2_conv1_conv,121_conv4_block4_add,193069.88
2_conv1_conv,122_conv4_block4_out,193173.71
2_conv1_conv,123_conv4_block5_1_conv,195586.73
2_conv1_conv,124_conv4_block5_1_bn,198347.02
2_conv1_conv,125_conv4_block5_1_relu,198451.06
2_conv1_conv,126_conv4_block5_2_conv,204785.24
2_conv1_conv,127_conv4_block5_2_bn,206278.01
2_conv1_conv,128_conv4_block5_2_relu,208699.32
2_conv1_conv,129_conv4_block5_3_conv,210586.48
2_conv1_conv,130_conv4_block5_3_bn,213592.6
2_conv1_conv,131_conv4_block5_add,214005.44
2_conv1_conv,132_conv4_block5_out,214418.28
2_conv1_conv,133_conv4_block6_1_conv,216455.08
2_conv1_conv,134_conv4_block6_1_bn,216641.29
2_conv1_conv,135_conv4_block6_1_relu,217054.12
2_conv1_conv,136_conv4_block6_2_conv,223388.75
2_conv1_conv,137_conv4_block6_2_bn,223575.8
2_conv1_conv,138_conv4_block6_2_relu,223679.55
2_conv1_conv,139_conv4_block6_3_conv,225561.9
2_conv1_conv,140_conv4_block6_3_bn,226309.63
2_conv1_conv,141_conv4_block6_add,226722.47
2_conv1_conv,142_conv4_block6_out,227135.49
2_conv1_conv,143_conv5_block1_1_conv,228737.52
2_conv1_conv,144_conv5_block1_1_bn,228830.51
2_conv1_conv,145_conv5_block1_1_relu,228882.27
2_conv1_conv,146_conv5_block1_2_conv,231642.54
2_conv1_conv,147_conv5_block1_2_bn,231735.8
2_conv1_conv,148_conv5_block1_2_relu,231787.68
2_conv1_conv,149_conv5_block1_0_conv,232977.6
2_conv1_conv,150_conv5_block1_3_conv,233389.46
2_conv1_conv,151_conv5_block1_0_bn,233350.86
2_conv1_conv,152_conv5_block1_3_bn,233764.99
3_conv1_bn,4_conv1_relu,1634.6
3_conv1_bn,5_pool1_pad,2049.24
3_conv1_bn,6_pool1_pool,3276.49
3_conv1_bn,7_conv2_block1_1_conv,4176.38
3_conv1_bn,8_conv2_block1_1_bn,4923.22
3_conv1_bn,9_conv2_block1_1_relu,13269.67
3_conv1_bn,10_conv2_block1_2_conv,13362.91
3_conv1_bn,11_conv2_block1_2_bn,14109.64
3_conv1_bn,12_conv2_block1_2_relu,14523.03
3_conv1_bn,13_conv2_block1_0_conv,3369.74
3_conv1_bn,14_conv2_block1_3_conv,17529.17
3_conv1_bn,15_conv2_block1_0_bn,6130.01
3_conv1_bn,16_conv2_block1_3_bn,20517.17
3_conv1_bn,17_conv2_block1_add,20930.01
3_conv1_bn,18_conv2_block1_out,22576.33
3_conv1_bn,19_conv2_block2_1_conv,25336.35
3_conv1_bn,20_conv2_block2_1_bn,28096.89
3_conv1_bn,21_conv2_block2_1_relu,28511.04
3_conv1_bn,22_conv2_block2_2_conv,28614.81
3_conv1_bn,23_conv2_block2_2_bn,31375.1
3_conv1_bn,24_conv2_block2_2_relu,34363.1
3_conv1_bn,25_conv2_block2_3_conv,37384.59
3_conv1_bn,26_conv2_block2_3_bn,40363
3_conv1_bn,27_conv2_block2_add,40775.84
3_conv1_bn,28_conv2_block2_out,42426.59
3_conv1_bn,29_conv2_block3_1_conv,42530.31
3_conv1_bn,30_conv2_block3_1_bn,42582.05
3_conv1_bn,31_conv2_block3_1_relu,42995.88
3_conv1_bn,32_conv2_block3_2_conv,43182.3
3_conv1_bn,33_conv2_block3_2_bn,45942.57
3_conv1_bn,34_conv2_block3_2_relu,46356.45
3_conv1_bn,35_conv2_block3_3_conv,49348.64
3_conv1_bn,36_conv2_block3_3_bn,52311.79
3_conv1_bn,37_conv2_block3_add,52724.64
3_conv1_bn,38_conv2_block3_out,55484.9
3_conv1_bn,39_conv3_block1_1_conv,57451.78
3_conv1_bn,40_conv3_block1_1_bn,57638.38
3_conv1_bn,41_conv3_block1_1_relu,59124.42
3_conv1_bn,42_conv3_block1_2_conv,65555.25
3_conv1_bn,43_conv3_block1_2_bn,68315.52
3_conv1_bn,44_conv3_block1_2_relu,68523.02
3_conv1_bn,45_conv3_block1_0_conv,58245.17
3_conv1_bn,46_conv3_block1_3_conv,70940.67
3_conv1_bn,47_conv3_block1_0_bn,59738.43
3_conv1_bn,48_conv3_block1_3_bn,77275.08
3_conv1_bn,49_conv3_block1_add,77687.92
3_conv1_bn,50_conv3_block1_out,78512.44
3_conv1_bn,51_conv3_block2_1_conv,80787.77
3_conv1_bn,52_conv3_block2_1_bn,81160.92
3_conv1_bn,53_conv3_block2_1_relu,87165.9
3_conv1_bn,54_conv3_block2_2_conv,93594.12
3_conv1_bn,55_conv3_block2_2_bn,93967.71
3_conv1_bn,56_conv3_block2_2_relu,94175.02
3_conv1_bn,57_conv3_block2_3_conv,96596.33
3_conv1_bn,58_conv3_block2_3_bn,98085.85
3_conv1_bn,59_conv3_block2_add,98498.69
3_conv1_bn,60_conv3_block2_out,98602.53
3_conv1_bn,61_conv3_block3_1_conv,100489.69
3_conv1_bn,62_conv3_block3_1_bn,100861.96
3_conv1_bn,63_conv3_block3_1_relu,101069.67
3_conv1_bn,64_conv3_block3_2_conv,107497.36
3_conv1_bn,65_conv3_block3_2_bn,107870.48
3_conv1_bn,66_conv3_block3_2_relu,110862.68
3_conv1_bn,67_conv3_block3_3_conv,117292.9
3_conv1_bn,68_conv3_block3_3_bn,117500.52
3_conv1_bn,69_conv3_block3_add,117913.36
3_conv1_bn,70_conv3_block3_out,118737.67
3_conv1_bn,71_conv3_block4_1_conv,121009.51
3_conv1_bn,72_conv3_block4_1_bn,121382.25
3_conv1_bn,73_conv3_block4_1_relu,121589.32
3_conv1_bn,74_conv3_block4_2_conv,128019.03
3_conv1_bn,75_conv3_block4_2_bn,128393.04
3_conv1_bn,76_conv3_block4_2_relu,128600.16
3_conv1_bn,77_conv3_block4_3_conv,130796.83
3_conv1_bn,78_conv3_block4_3_bn,131210.5
3_conv1_bn,79_conv3_block4_add,131623.34
3_conv1_bn,80_conv3_block4_out,132449.6
3_conv1_bn,81_conv4_block1_1_conv,134232.27
3_conv1_bn,82_conv4_block1_1_bn,134418.93
3_conv1_bn,83_conv4_block1_1_relu,134522.83
3_conv1_bn,84_conv4_block1_2_conv,140857.24
3_conv1_bn,85_conv4_block1_2_bn,141043.82
3_conv1_bn,86_conv4_block1_2_relu,141147.64
3_conv1_bn,87_conv4_block1_0_conv,138455.23
3_conv1_bn,88_conv4_block1_3_conv,142793.17
3_conv1_bn,89_conv4_block1_0_bn,138662.43
3_conv1_bn,90_conv4_block1_3_bn,143540.01
3_conv1_bn,91_conv4_block1_add,143952.85
3_conv1_bn,92_conv4_block1_out,144366.02
3_conv1_bn,93_conv4_block2_1_conv,146402.82
